ID,span_rabbis_text,first_rabbi,first_rabbi_no_prefix,first_rabbi_after_link,second_rabbi,second_rabbi_no_prefix,second_rabbi_after_link,rabbis_after_link_alpha_order,interval_text,token_string,numb_intervening_tokens,masechet,start_span,end_span,amud,exist_before_new_markers_start_span,first_rabbi_after_link_id,second_rabbi_after_link_id
1609,הכא נמי איבעי ליה למחויי.  אמר ^רב יהודה אמר רב^ ישראל הבא מחמת גוי הרי,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,119181,119195,35B,119181,1394,2578
1621,היא רב מאי היא דאמר ^רב יהודה אמר רב^ זו דברי רבי ישמעאל ורבי,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,121520,121534,36B,121520,1394,2578
1625,ניר דלא.  שמואל מאי היא דאמר ^רב יהודה אמר שמואל^ זו דברי רבי ישמעאל ורבי,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,121669,121686,36B,121669,1394,2763
1632,אפילו יהודה ויהודה נמי לא.  אמר ^רבי אבא בר ממל אמר רב^ לעולם קסבר מחאה שלא בפניו,רבי אבא בר ממל,רבי אבא בר ממל,רבי אבא בר ממל,רב,רב,רב,רב-רבי אבא בר ממל, אמר ,אמר,1,Bava Batra,124210,124230,38A,124210,47,2578
1633,יהודה וגליל כשעת חירום דמו.  אמר ^רב יהודה אמר רב^ אין מחזיקין בנכסי בורח כי,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,124382,124396,38B,124382,1394,2578
1635,לא סבירא ליה.  ואיכא דאמרי אמר ^רב יהודה אמר רב^ מחזיקים בנכסי בורח כי אמריתה,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,124618,124632,38B,124618,1394,2578
1638,דאיניש אמר לה ולאו אדעתיה.  אמר ^רבא אמר רב נחמן^ מחאה שלא בפניו הויא מחאה,רבא,רבא,רבא,רב נחמן,רב נחמן,רב נחמן בר יעקב,רב נחמן בר יעקב-רבא, אמר ,אמר,1,Bava Batra,125818,125832,39A,125818,2582,2285
1646,אמר רבי יוחנן מחאה בכמה ^רבי חייא בר אבא אמר רבי יוחנן^ מחאה בפני שנים רבי אבהו,רבי חייא בר אבא,רבי חייא בר אבא,רבי חייא בר אבא,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי חייא בר אבא-רבי יוחנן, אמר ,אמר,1,Bava Batra,126323,126351,39A,126323,1091,1570
1653,ראשונה שוב אין צריך למחות.  אמר ^ריש לקיש משום בר קפרא^ וצריך למחות בסוף כל שלש,ריש לקיש,ריש לקיש,רבי שמעון בן לקיש,בר קפרא,בר קפרא,רבי אלעזר הקפר,רבי אלעזר הקפר-רבי שמעון בן לקיש, משום ,משום,1,Bava Batra,127195,127215,39B,127195,2879,485
1654,ואם לאו יש לו חזקה.  אמר ^רבא אמר רב נחמן^ מחאה בפני שנים,רבא,רבא,רבא,רב נחמן,רב נחמן,רב נחמן בר יעקב,רב נחמן בר יעקב-רבא, אמר ,אמר,1,Bava Batra,127462,127476,39B,127462,2582,2285
1676,לימא שותף אין לו חזקה.  אמר ^רב נחמן אמר רבה בר אבוה^ לומר שנוטל בשבח המגיע לכתפים,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,132853,132875,42B,132853,2285,2586
1677,הרי מעמידה בפני בעל חובו.  דאמר ^רבין בר שמואל משמיה דשמואל^ המוכר שדה לחבירו שלא באחריות,רבין בר שמואל,רבין בר שמואל,רבין בר שמואל,דשמואל,שמואל,שמואל,רבין בר שמואל-שמואל, משמיה ,משמיה,1,Bava Batra,133243,133268,43A,133243,160,2763
1679,ליה.  אלא כדרבין בר שמואל דאמר ^רבין בר שמואל משמיה דשמואל^ המוכר שדה לחבירו שלא באחריות,רבין בר שמואל,רבין בר שמואל,רבין בר שמואל,דשמואל,שמואל,שמואל,רבין בר שמואל-שמואל, משמיה ,משמיה,1,Bava Batra,135467,135492,44A,135467,160,2763
1681,זביני לך שלא באחריות.  גופא אמר ^רבין בר שמואל משמיה דשמואל^ המוכר שדה לחבירו שלא באחריות,רבין בר שמואל,רבין בר שמואל,רבין בר שמואל,דשמואל,שמואל,שמואל,רבין בר שמואל-שמואל, משמיה ,משמיה,1,Bava Batra,136560,136585,44B,136560,160,2763
1691,ואינה מגורשת וכדרבי זירא דאמר ^רבי זירא אמר רבי ירמיה בר אבא^ אמר שמואל כל מקום שאמרו,רבי זירא,רבי זירא,רבי זירא,רבי ירמיה בר אבא,רבי ירמיה בר אבא,רב ירמיה בר אבא,רב ירמיה בר אבא-רבי זירא, אמר ,אמר,1,Bava Batra,141341,141369,47B,141341,1017,1954
1692,זירא דאמר רבי זירא אמר ^רבי ירמיה בר אבא אמר שמואל^ כל מקום שאמרו חכמים מגורשת,רבי ירמיה בר אבא,רבי ירמיה בר אבא,רב ירמיה בר אבא,שמואל,שמואל,שמואל,רב ירמיה בר אבא-שמואל, אמר ,אמר,1,Bava Batra,141354,141379,47B,141354,1954,2763
1710,כדרב הונא אמר רב דאמר ^רב הונא אמר רב^ יכולה אשה שתאמר לבעלה איני,רב הונא,רב הונא,רב הונא,רב,רב,רב,רב-רב הונא, אמר ,אמר,1,Bava Batra,144725,144738,49B,144725,895,2578
1714,שחפר בה בורות שיחין ומערות.  והאמר ^רב נחמן אמר רבה בר אבוה^ אין חזקה לנזקין,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,146396,146418,50B,146396,2285,2586
1753,בדוחקא והשתא עיילי בה ברווחא.  אמר ^רב אסי אמר רבי יוחנן^ נתן צרור והועיל נטל צרור,רב אסי,רב אסי,רב אסי,רבי יוחנן,רבי יוחנן,רבי יוחנן,רב אסי-רבי יוחנן, אמר ,אמר,1,Bava Batra,151881,151900,53A,151881,534,1570
1754,נטל צרור וארוח לה מיא.  ואמר ^רב אסי אמר רבי יוחנן^ שתי שדות ומצר אחד ביניהן,רב אסי,רב אסי,רב אסי,רבי יוחנן,רבי יוחנן,רבי יוחנן,רב אסי-רבי יוחנן, אמר ,אמר,1,Bava Batra,152102,152121,53A,152102,534,1570
1755,קאי והאי לחודיה קאי תיקו.  אמר ^רב נחמן אמר רבה בר אבוה^ שני בתים זה לפנים מזה,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,152529,152551,53B,152529,2285,2586
1756,החיצון אף פנימי לא קנה.  אמר ^רב נחמן אמר רבה בר אבוה^ הבונה פלטרין גדולים בנכסי הגר,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,152778,152800,53B,152778,2285,2586
1757,קמא לבני בעלמא הוא דאפיך.  אמר ^רב דימי בר יוסף אמר רבי אלעזר^ המוצא פלטרין בנכסי הגר וסד,רב דימי בר יוסף,רב דימי בר יוסף,רב דימי בר יוסף,רבי אלעזר,רבי אלעזר,רבי אלעזר בן פדת,רב דימי בר יוסף-רבי אלעזר בן פדת, אמר ,אמר,1,Bava Batra,152901,152929,53B,152901,873,467
1761,מהגבהה שהגבהה קונה בכל מקום.  אמר ^רב ירמיה ביראה אמר רב יהודה^ האי מאן,רב ירמיה ביראה,רב ירמיה ביראה,רב ירמיה ביראה,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב יהודה בר יחזקאל-רב ירמיה ביראה, אמר ,אמר,1,Bava Batra,153469,153495,53B,153469,1953,1394
1765,בצורתא.  איתמר שדה המסויימת במצריה אמר ^רב הונא אמר רב^ כיון שהכיש בה מכוש אחד,רב הונא,רב הונא,רב הונא,רב,רב,רב,רב-רב הונא, אמר ,אמר,1,Bava Batra,154471,154484,54A,154471,895,2578
1766,פפא כדאזיל תיירא דשורי והדר.  אמר ^רב יהודה אמר שמואל^ נכסי גוי הרי הן כמדבר,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,154635,154652,54B,154635,1394,2763
1771,אנא כשמעתין סבירא לי דאמר ^רב הונא אמר רב^ כיון שניכש בה מכוש אחד,רב הונא,רב הונא,רב הונא,רב,רב,רב,רב-רב הונא, אמר ,אמר,1,Bava Batra,155439,155452,55A,155439,895,2578
1780,אבל אנדיסקי סיעתא דשמיא היא.  אמר ^רב אסי אמר רבי יוחנן^ המצר והחצב מפסיקין בנכסי הגר,רב אסי,רב אסי,רב אסי,רבי יוחנן,רבי יוחנן,רבי יוחנן,רב אסי-רבי יוחנן, אמר ,אמר,1,Bava Batra,156328,156347,55A,156328,534,1570
1787,מפסיק בנכסי הגר.  מאי חצובא אמר ^רב יהודה אמר רב^ שבו תיחם יהושע לישראל את,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,157392,157406,56A,157392,1394,2578
1788,תיחם יהושע לישראל את הארץ.  ואמר ^רב יהודה אמר רב^ לא מנה יהושע אלא עיירות,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,157445,157459,56A,157445,1394,2578
1789,אלא עיירות העומדות על הגבולין.  אמר ^רב יהודה אמר שמואל^ כל שהראהו הקדוש ברוך הוא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,157510,157527,56A,157510,1394,2763
1798,בנכסי הגר לא קנה.  אלא אמר ^רב נחמן אמר רבה בר אבוה^,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,159634,159656,57A,159634,2285,2586
1799,מזה אסורין ליכנס לחצר.  אלא אמר ^רב נחמן אמר רבה בר אבוה^ הכא ברחבה של אחורי בתים,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,159807,159829,57B,159807,2285,2586
1801,אפילו ויתור אסור במודר הנאה.  אמר ^רבי יוחנן משום רבי בנאה^ בכל שותפין מעכבין זה את,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי בנאה,רבי בנאה,רבי בנאה,רבי בנאה-רבי יוחנן, משום ,משום,1,Bava Batra,160098,160120,57B,160098,1570,687
1808,חזקה ויש למקומו חזקה אמר ^רב יהודה אמר שמואל^ הכי קאמר המרזב אין לו,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,163865,163882,58B,163865,1394,2763
1809,לא ניחא לי דתתרע אשיתאי.  אמר ^רב יהודה אמר שמואל^ צינור המקלח מים לחצר חברו,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,164337,164354,59A,164337,1394,2763
1819,חזקה ואין יכול למחות.  גמ׳ אמר ^רבי אסי אמר רבי מני^ ואמרי לה אמר רבי יעקב,רבי אסי,רבי אסי,רבי אסי,רבי מני,רבי מני,רבי מונא,רבי אסי-רבי מונא, אמר ,אמר,1,Bava Batra,165417,165435,59B,165417,535,2075
1821,רבי מני ואמרי לה אמר ^רבי יעקב אמר רבי מני^ החזיק בטפח החזיק בארבע מאי,רבי יעקב,רבי יעקב,רבי יעקב,רבי מני,רבי מני,רבי מונא,רבי יעקב-רבי מונא, אמר ,אמר,1,Bava Batra,165450,165469,59B,165450,1832,2075
1833,ליה מצרי אבראי.  כדרב נחמן דאמר ^רב נחמן אמר רבה בר אבוה^ המוכר בית לחבירו בבירה גדולה,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,172232,172254,61B,172232,2285,2586
1834,כתב שמע מינה שיורי שייר.  ואמר ^רב נחמן אמר רבה בר אבוה^ המוכר שדה לחבירו בבקעה גדולה,רב נחמן,רב נחמן,רב נחמן בר יעקב,רבה בר אבוה,רבה בר אבוה,רבה בר אבוה,רב נחמן בר יעקב-רבה בר אבוה, אמר ,אמר,1,Bava Batra,172646,172668,61B,172646,2285,2586
1836,דאמר רב מרי בריה דבת ^שמואל  משמיה דאביי^ האי מאן דמזבני ליה מידי,שמואל,שמואל,שמואל,דאביי,אביי,אביי,אביי-שמואל,  משמיה ,משמיה,1,Bava Batra,173325,173342,61B,173325,2763,121
1851,הונא אמר רב.  [65A]  הלכה כדברי חכמים ^ורב ירמיה בר אבא אמר שמואל^ הלכה כרבי עקיבא אמר ליה,ורב ירמיה בר אבא,רב ירמיה בר אבא,רב ירמיה בר אבא,שמואל,שמואל,שמואל,רב ירמיה בר אבא-שמואל, אמר ,אמר,1,Bava Batra,179316,179341,65A,179316,1954,2763
1859,לרב אשי לימא אזדו לטעמייהו.  דאמר ^רב נחמן אמר שמואל^ האחין שחלקו אין להן לא,רב נחמן,רב נחמן,רב נחמן בר יעקב,שמואל,שמואל,שמואל,רב נחמן בר יעקב-שמואל, אמר ,אמר,1,Bava Batra,179579,179595,65A,179579,2285,2763
1872,משמע ומר סבר כחצר המשכן.  ואמר ^רבה אמר רב נחמן^ מכר לו חולסית ומצולה החזיק,רבה,רבה,רבה בר נחמני,רב נחמן,רב נחמן,רב נחמן בר יעקב,רב נחמן בר יעקב-רבה בר נחמני, אמר ,אמר,1,Bava Batra,183466,183480,67A,183466,2581,2285
1873,לחוד והא תשמישתא לחוד.  ואיכא דאמרי.  [67B]  אמר ^רבה אמר רב נחמן^ החזיק בחולסית קנה מצולה פשיטא,רבה,רבה,רבה בר נחמני,רב נחמן,רב נחמן,רב נחמן בר יעקב,רב נחמן בר יעקב-רבה בר נחמני, אמר ,אמר,1,Bava Batra,183753,183767,67B,183753,2581,2285
1883,ואף על גב דקטיני אמר ^רבי חייא בר אבא אמר רבי יוחנן^ לא חיצת הקנים בלבד אלא,רבי חייא בר אבא,רבי חייא בר אבא,רבי חייא בר אבא,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי חייא בר אבא-רבי יוחנן, אמר ,אמר,1,Bava Batra,189309,189337,69A,189309,1091,1570
1884,השקמה וכו׳.  [69B]  מנא הני מילי אמר ^רב יהודה אמר רב^ דאמר קרא ויקם שדה עפרון,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,189954,189968,69B,189954,1394,2578
1905,בו סאתים שכחו אין שכחה.  אמר ^רבה בר בר חנה אמר ריש לקיש^ חרוב המורכב וסדן השקמה באנו,רבה בר בר חנה,רבה בר בר חנה,רבה בר בר חנה,ריש לקיש,ריש לקיש,רבי שמעון בן לקיש,רבה בר בר חנה-רבי שמעון בן לקיש, אמר ,אמר,1,Bava Batra,196893,196918,72B,196893,2594,2879
1915,ה׳ בחרבו הקשה וגו׳.   אמר ^רב יהודה אמר רב^ כל מה שברא הקדוש ברוך,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,203965,203979,74B,203965,1394,2578
1916,מעלי בשרא מליחא לא מעלי.  ואמר ^רב יהודה אמר רב^ בשעה שביקש הקדוש ברוך הוא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,204649,204663,74B,204649,1394,2578
1917,אלא לשרה של ים מכסים.  ואמר ^רב יהודה אמר רב^ ירדן יוצא ממערת פמייס תניא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,205042,205056,74B,205042,1394,2578
1921,לשיבה ואין שיבה פחותה משבעים.  אמר ^רבה אמר רבי יוחנן^ עתיד הקדוש ברוך הוא לעשות,רבה,רבה,רבה בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר נחמני-רבי יוחנן, אמר ,אמר,1,Bava Batra,206170,206186,75A,206170,2581,1570
1922,סחריה שרים כנעניה נכבדי ארץ.  ואמר ^רבה אמר רבי יוחנן^ עתיד הקדוש ברוך הוא לעשות,רבה,רבה,רבה בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר נחמני-רבי יוחנן, אמר ,אמר,1,Bava Batra,206588,206604,75A,206588,2581,1570
1926,רבי יוחנן לכווי דבי זיקא.  ואמר ^רבה אמר רבי יוחנן^ עתיד הקדוש ברוך הוא לעשות,רבה,רבה,רבה בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר נחמני-רבי יוחנן, אמר ,אמר,1,Bava Batra,208006,208022,75A,208006,2581,1570
1927,מלאכת תפיך ונקביך בך אמר ^רב יהודה אמר רב^ אמר לו הקדוש ברוך הוא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,208812,208826,75A,208812,1394,2578
1928,אדם הראשון.  מאי ועל מקראה אמר ^רבה אמר רבי יוחנן^ לא כירושלים של עולם הזה,רבה,רבה,רבה בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר נחמני-רבי יוחנן, אמר ,אמר,1,Bava Batra,208986,209002,75B,208986,2581,1570
1929,אין עולין אלא המזומנין לה.  ואמר ^רבה אמר רבי יוחנן^ עתידין צדיקים שנקראין על שמו,רבה,רבה,רבה בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר נחמני-רבי יוחנן, אמר ,אמר,1,Bava Batra,209133,209149,75B,209133,2581,1570
1930,בראתיו יצרתיו אף עשיתיו ואמר ^רבי שמואל בר נחמני אמר רבי יוחנן^ שלשה נקראו על שמו של,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי שמואל בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי יוחנן-רבי שמואל בר נחמני, אמר ,אמר,1,Bava Batra,209255,209286,75B,209255,2800,1570
1931,והנותר בירושלם קדוש יאמר לו.  ואמר ^רבה אמר רבי יוחנן^ עתיד הקדוש ברוך הוא להגביה,רבה,רבה,רבה בר נחמני,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבה בר נחמני-רבי יוחנן, אמר ,אמר,1,Bava Batra,209622,209638,75B,209622,2581,1570
1933,מאי שלוש ושלשים פעמים אמר ^רבי לוי אמר רב פפי^ משום רבי יהושע דסכני אם,רבי לוי,רבי לוי,רבי לוי,רב פפי,רב פפי,רב פפי,רב פפי-רבי לוי, אמר ,אמר,1,Bava Batra,210660,210677,75B,210660,2031,2533
1934,פעמים אמר רבי לוי אמר ^רב פפי משום רבי יהושע^ דסכני אם שלש ירושלים הן,רב פפי,רב פפי,רב פפי,רבי יהושע,רבי יהושע,רבי יהושע בן חנניה,רב פפי-רבי יהושע בן חנניה, משום ,משום,1,Bava Batra,210672,210692,75B,210672,2533,1527
1951,ומילי במילי לא מיקנין.  ולא והאמר ^רבה בר יצחק אמר רב^ שני שטרות הם זכו בשדה,רבה בר יצחק,רבה בר יצחק,רבה בר יצחק,רב,רב,רב,רב-רבה בר יצחק, אמר ,אמר,1,Bava Batra,213305,213322,77A,213305,2607,2578
1970,סיח שמהלך אחר סיחה נאה.  אמר ^רבי שמואל בר נחמן אמר רבי יוחנן^ מאי דכתיב על כן יאמרו,רבי שמואל בר נחמן,רבי שמואל בר נחמן,רבי שמואל בר נחמן,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי יוחנן-רבי שמואל בר נחמן, אמר ,אמר,1,Bava Batra,217777,217807,78B,217777,22798,1570
1971,לה עד דעביד מאי דבעי.  אמר ^רב יהודה אמר רב^ כל הפורש מדברי תורה אש,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,218518,218532,79A,218518,1394,2578
1984,נחילין ומסרס במה מסרסן אמר ^רב יהודה אמר שמואל^ בחרדל אמרי במערבא משמיה דרבי,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,221391,221408,80A,221391,1394,2763
1986,רב יהודה אמר שמואל בחרדל ^אמרי במערבא משמיה דרבי יוסי בר חנינא^ לא חרדל מסרסן אלא מתוך,אמרי במערבא,אמרי במערבא,אמרי במערבא,דרבי יוסי בר חנינא,רבי יוסי בר חנינא,רבי יוסי ברבי חנינא,אמרי במערבא-רבי יוסי ברבי חנינא, משמיה ,משמיה,1,Bava Batra,221416,221451,80A,221416,20206,1689
1996,רבי מאיר אומר מביא וקורא.  אמר ^רב יהודה אמר שמואל^ מחייב היה רבי מאיר אף,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,224377,224394,81A,224377,1394,2763
2006,שלשה קנה קרקע וכמה אמר ^רבי חייא בר אבא אמר רבי יוחנן^ הרי זה קנה תחתיהן וביניהן,רבי חייא בר אבא,רבי חייא בר אבא,רבי חייא בר אבא,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי חייא בר אבא-רבי יוחנן, אמר ,אמר,1,Bava Batra,226535,226563,82A,226535,1091,1570
2014,יהא ביניהן רב יוסף אמר ^רב יהודה אמר שמואל^ מארבע אמות ועד שמונה רבא,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,227652,227669,82B,227652,1394,2763
2017,אמות ועד שמונה רבא אמר ^רב נחמן אמר שמואל^ משמונה ועד שש עשרה אמר,רב נחמן,רב נחמן,רב נחמן בר יעקב,שמואל,שמואל,שמואל,רב נחמן בר יעקב-שמואל, אמר ,אמר,1,Bava Batra,227700,227716,82B,227700,2285,2763
2029,ותלש כל שהוא קנה.  גמ׳ אמר ^רבי אסי אמר רבי יוחנן^ מדד והניח על גבי סימטא,רבי אסי,רבי אסי,רבי אסי,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי אסי-רבי יוחנן, אמר ,אמר,1,Bava Batra,232364,232384,84B,232364,535,1570
2032,קיבלה מיניה תא שמע דאמר ^רבי ינאי אמר רבי^ חצר השותפין קונין זה מזה,רבי ינאי,רבי ינאי,רבי ינאי רבה,רבי,רבי,רבי יהודה הנשיא,רבי יהודה הנשיא-רבי ינאי רבה, אמר ,אמר,1,Bava Batra,232589,232604,84B,232589,1814,1508
2033,לתוך קופתו.  הכי נמי מסתברא דאמר ^רבי יעקב אמר רבי יוחנן^ מדד והניח על גבי סימטא,רבי יעקב,רבי יעקב,רבי יעקב,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי יוחנן-רבי יעקב, אמר ,אמר,1,Bava Batra,232687,232708,84B,232687,1832,1570
2037,רשות היחיד.  הכי נמי מסתברא דאמר ^רבי אבהו אמר רבי יוחנן^ כליו של אדם קונה לו,רבי אבהו,רבי אבהו,רבי אבהו,רבי יוחנן,רבי יוחנן,רבי יוחנן,רבי אבהו-רבי יוחנן, אמר ,אמר,1,Bava Batra,233486,233507,85A,233486,92,1570
2039,דמחו לה מאה עוכלי בעוכלא.  דאמר ^רב יהודה אמר שמואל^ והוא שהיתה קלתה תלויה בה,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,שמואל,שמואל,שמואל,רב יהודה בר יחזקאל-שמואל, אמר ,אמר,1,Bava Batra,234354,234371,85B,234354,1394,2763
2065,ותן לו וכמה גירומין אמר ^רבי אבא בר ממל אמר רב^ אחד מעשרה בליטרא בלח לעשרה,רבי אבא בר ממל,רבי אבא בר ממל,רבי אבא בר ממל,רב,רב,רב,רב-רבי אבא בר ממל, אמר ,אמר,1,Bava Batra,241444,241464,88B,241444,47,2578
2066,כמאן סבר כי הא דאמר ^רמי בר חמא אמר רבי יצחק^ מעמידין אגרדמין בין למדות בין,רמי בר חמא,רמי בר חמא,רמי בר חמא,רבי יצחק,רבי יצחק,רבי יצחק,רבי יצחק-רמי בר חמא, אמר ,אמר,1,Bava Batra,243343,243365,89A,243343,2681,1885
2068,לוג ורביעית וחצי תומן ועוכלא.  אמר ^רב יהודה אמר רב^ אסור לאדם שישהה מדה חסרה,רב יהודה,רב יהודה,רב יהודה בר יחזקאל,רב,רב,רב,רב-רב יהודה בר יחזקאל, אמר ,אמר,1,Bava Batra,245349,245363,89B,245349,1394,2578
2076,שכיב שיכבא קיימא מנו בייתיה.  אמר ^רבה בר רב הונא אמר רב^ אבצן זה בעז מאי קא,רבה בר רב הונא,רבה בר רב הונא,רבה בר רב הונא,רב,רב,רב,רב-רבה בר רב הונא, אמר ,אמר,1,Bava Batra,249181,249201,91A,249181,2596,2578
2078,דרבה בר רב הונא דאמר ^רבה בר רב הונא אמר רב^ מאה ועשרים משתאות עשה בעז,רבה בר רב הונא,רבה בר רב הונא,רבה בר רב הונא,רב,רב,רב,רב-רבה בר רב הונא, אמר ,אמר,1,Bava Batra,249259,249279,91A,249259,2596,2578
2079,ואוליד חד דמשיתין זריז.   אמר ^רב חנן בר רבא אמר רב^ אלימלך ושלמון ופלוני אלמוני ואבי,רב חנן בר רבא,רב חנן בר רבא,רב חנן בר רבא,רב,רב,רב,רב-רב חנן בר רבא, אמר ,אמר,1,Bava Batra,249636,249655,91A,249636,1327,2578
2080,בשעה שיוצא מארץ לחוצה לארץ.  ואמר ^רב חנן בר רבא אמר רב^ אמיה דאברהם אמתלאי בת כרנבו,רב חנן בר רבא,רב חנן בר רבא,רב חנן בר רבא,רב,רב,רב,רב-רב חנן בר רבא, אמר ,אמר,1,Bava Batra,249813,249832,91A,249813,1327,2578
2081,למאי נפקא מינה לתשובת המינים.  ואמר ^רב חנן בר רבא אמר רב^ עשר שנים נחבש אברהם אבינו,רב חנן בר רבא,רב חנן בר רבא,רב חנן בר רבא,רב,רב,רב,רב-רב חנן בר רבא, אמר ,אמר,1,Bava Batra,250014,250033,91A,250014,1327,2578
2084,זעירא דכותא זהו אור כשדים.  ואמר ^רב חנן בר רבא אמר רב^ אותו היום שנפטר אברהם אבינו,רב חנן בר רבא,רב חנן בר רבא,רב חנן בר רבא,רב,רב,רב,רב-רב חנן בר רבא, אמר ,אמר,1,Bava Batra,250161,250180,91A,250161,1327,2578
